pfi_number,facility_name,procedure,procedure_label,borough,primary_zip3,patient_volume,avg_severity,observed_avg_los,expected_avg_los,oe_ratio_los,observed_adverse_pct,oe_ratio_adverse,clinical_oe,facility_procedure_cost,cost_basis,market_median_cost,pct_vs_market_median,value_index,value_rank,star_rating
1463,NYU LANGONE HOSPITALS,hip,Hip replacement,Manhattan,112,33,2.121,2.36,3.14,0.752,3.03,0.123,0.305,22616.67,mrf_negotiated,37430.45,-39.6,62.737,1,5
1456,MOUNT SINAI HOSPITAL,hip,Hip replacement,Manhattan,100,290,1.697,2.11,2.39,0.882,4.48,0.247,0.467,60175.55,sparcs_charge,52133.61,15.4,22.537,2,5
1446,NYU LANGONE ORTHOPEDIC HOSPITAL,hip,Hip replacement,Manhattan,112,1515,1.589,1.70,2.36,0.720,9.24,0.506,0.604,37430.45,mrf_negotiated,37430.45,0.0,20.075,3,5
1639,MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,hip,Hip replacement,Queens,113,77,1.805,2.14,2.44,0.877,10.39,0.527,0.680,37533.60,sparcs_charge,52133.61,-28.0,13.087,4,5
1447,HOSPITAL FOR SPECIAL SURGERY,hip,Hip replacement,Manhattan,100,4145,1.305,1.90,2.04,0.933,6.97,0.471,0.663,58903.32,mrf_negotiated,37430.45,57.4,12.042,5,5
1737,STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,hip,Hip replacement,Staten Island,103,292,1.216,3.43,1.90,1.809,4.45,0.336,0.780,52186.31,sparcs_charge,52133.61,0.1,9.327,6,5
1454,METROPOLITAN HOSPITAL CENTER,hip,Hip replacement,Manhattan,100,63,1.254,2.21,2.09,1.058,11.11,0.722,0.874,47231.17,sparcs_charge,52133.61,-9.4,6.010,7,5
1172,LINCOLN MEDICAL & MENTAL HEALTH CENTER,hip,Hip replacement,Bronx,104,48,1.104,4.13,1.91,2.164,4.17,0.305,0.812,52659.98,sparcs_charge,52133.61,1.0,5.844,8,5
1692,WOODHULL MEDICAL & MENTAL HEALTH CENTER,hip,Hip replacement,Brooklyn,112,29,1.310,2.83,2.11,1.338,6.90,0.439,0.766,53752.62,sparcs_charge,52133.61,3.1,5.622,9,4
1464,NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,hip,Hip replacement,Manhattan,100,326,1.515,2.21,2.31,0.958,11.96,0.682,0.809,86339.45,sparcs_charge,52133.61,65.6,5.342,10,4
1450,LENOX HILL HOSPITAL,hip,Hip replacement,Manhattan,100,170,1.394,2.40,2.09,1.146,10.00,0.648,0.862,76349.37,sparcs_charge,52133.61,46.4,4.725,11,4
1438,BELLEVUE HOSPITAL CENTER,hip,Hip replacement,Manhattan,100,96,1.396,2.90,2.18,1.328,11.46,0.697,0.962,55306.61,sparcs_charge,52133.61,6.1,4.660,12,4
1630,LONG ISLAND JEWISH MEDICAL CENTER,hip,Hip replacement,Queens,113,103,1.408,1.98,2.16,0.917,16.50,0.983,0.949,61608.70,sparcs_charge,52133.61,18.2,4.364,13,4
