facility_name,cms_facility_name,pfi_number,hospital_county,borough,primary_zip3,first_discharge_year,last_discharge_year,years_observed,patient_volume,hip_volume,knee_volume,avg_severity,observed_avg_los,expected_avg_los,oe_ratio_los,observed_adverse_pct,expected_adverse_pct,oe_ratio_adverse,clinical_oe,median_cash_price,median_negotiated_charge,facility_procedure_cost,cost_basis,pricing_code_system,payer_count,market_median_cost,pct_vs_market_median,clinical_multiplier,financial_multiplier,experience_modifier,value_index,clinical_only_index,value_rank,value_percentile,star_rating,data_status,match_method,crosswalk_reviewed,cms_complication_rate,cms_complication_vs_national,cms_readmission_rate,cms_readmission_vs_national,cms_overall_rating
NYU LANGONE ORTHOPEDIC HOSPITAL,NYU Langone,1446,New York,Manhattan,112,2022,2024,3,4043,1515,2528,1.534,1.72,2.34,0.735,8.88,18.67,0.476,0.591,,38167.77,38167.77,mrf_negotiated,APR-DRG,9,51393.61,-25.7,1.6920,1.3465,8.3050,32.017,14.052,1,100.0,5,complete,fuzzy,True,2.800,No Different Than the National Rate,3.700,Better Than the National Rate,5.000
METROPOLITAN HOSPITAL CENTER,,1454,New York,Manhattan,100,2022,2024,3,236,63,173,1.186,1.89,2.08,0.908,4.66,16.00,0.291,0.514,,,38358.86,sparcs_charge,,,53050.50,-27.7,1.9455,1.3830,5.4681,28.624,10.638,2,97.5,5,unmapped_facility,,False,4.400,No Different Than the National Rate,6.300,No Different Than the National Rate,3.000
MOUNT SINAI HOSPITAL,,1456,Manhattan,Manhattan,100,2022,2024,3,611,290,321,1.676,2.13,2.41,0.883,4.91,19.08,0.257,0.477,,,59778.28,sparcs_charge,,,53050.50,12.7,2.0964,0.8875,6.4167,25.028,13.452,3,95.0,5,unmapped_facility,,False,2.700,No Different Than the National Rate,4.200,No Different Than the National Rate,4.000
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,,1639,Queens,Queens,113,2022,2024,3,316,77,239,1.813,1.88,2.48,0.759,8.25,20.33,0.406,0.555,,,39904.89,sparcs_charge,,,53050.50,-24.8,1.8018,1.3294,5.7589,24.855,10.376,4,92.5,5,unmapped_facility,,False,,Number of Cases Too Small,,Number of Cases Too Small,2.000
NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,NewYork-Presbyterian Columbia University Irving Medical Center,1464,New York,Manhattan,100,2022,2024,3,880,326,554,1.520,2.31,2.37,0.972,11.59,18.93,0.612,0.771,,30990.17,30990.17,mrf_negotiated,MS-DRG,25,51393.61,-39.7,1.2970,1.6584,6.7811,18.918,8.795,5,90.0,5,complete,fuzzy,True,4.000,No Different Than the National Rate,5.500,No Different Than the National Rate,5.000
BELLEVUE HOSPITAL CENTER,,1438,New York,Manhattan,112,2022,2024,3,246,96,150,1.280,2.44,2.14,1.142,4.88,16.51,0.296,0.581,,,53339.99,sparcs_charge,,,53050.50,0.5,1.7212,0.9946,5.5094,16.233,9.483,6,87.5,5,unmapped_facility,,False,3.900,No Different Than the National Rate,5.400,No Different Than the National Rate,2.000
NYU LANGONE HOSPITALS,NYU Langone Hospital?Suffolk,1463,Manhattan,Manhattan,112,2022,2024,3,71,33,38,2.183,3.65,3.17,1.151,14.08,26.65,0.528,0.780,,23632.66,23632.66,mrf_negotiated,APR-DRG,9,51393.61,-54.0,1.2821,2.1747,4.2767,15.287,5.483,7,85.0,5,complete,fuzzy,True,,,,,
HOSPITAL FOR SPECIAL SURGERY,Hospital for Special Surgery Main Hospital,1447,Manhattan,Manhattan,100,2022,2024,3,9671,4145,5526,1.327,2.04,2.14,0.952,7.98,16.40,0.487,0.681,79243.50,68940.00,68940.00,mrf_negotiated,MS-DRG,31,51393.61,34.1,1.4684,0.7455,9.1770,14.752,13.476,8,82.5,5,complete,fuzzy,True,2.900,No Different Than the National Rate,3.800,No Different Than the National Rate,5.000
STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,Staten Island University Hospital,1737,Richmond,Staten Island,103,2022,2024,3,675,292,383,1.207,3.76,1.98,1.894,4.89,14.64,0.334,0.795,75894.00,54250.00,54250.00,mrf_negotiated,MS-DRG,15,51393.61,5.6,1.2579,0.9473,6.5162,9.767,8.196,9,80.0,4,complete,fuzzy,True,3.100,No Different Than the National Rate,4.900,No Different Than the National Rate,3.000
LINCOLN MEDICAL & MENTAL HEALTH CENTER,,1172,Bronx,Bronx,104,2022,2024,3,162,48,114,1.191,4.40,2.07,2.119,4.94,15.92,0.310,0.811,,,52830.73,sparcs_charge,,,53050.50,-0.4,1.2330,1.0042,5.0938,7.777,6.281,10,77.5,4,unmapped_facility,,False,3.800,No Different Than the National Rate,6.100,No Different Than the National Rate,2.000
