link_id,link_name,speed_mph,travel_time_seconds,status,data_as_of_local,age_minutes,lag_minutes,is_stale,borough,owner,length_miles,sensor_length_miles,length_is_corroborated,implied_speed_mph,latitude,longitude,point_count,corridor,road_class,in_region,match_reason,observed_at_utc
4456452,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,0.0,0.0,-101,2026-09-17T23:03:03.000,198.6,3.1,False,Manhattan,MTA Bridges & Tunnels,1.7717,,False,,40.80151,-73.93066,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616329,FDR N 25th - 63rd St,18.01,380.0,0,2026-09-17T23:03:03.000,198.6,3.1,False,Manhattan,NYC_DOT_LIC,0.7315,1.9011,False,6.9,40.7423406,-73.97229,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616332,FDR S 63rd - 25th St,42.87,159.0,0,2026-09-17T23:03:03.000,198.6,3.1,False,Manhattan,NYC_DOT_LIC,0.9616,1.8934,True,21.8,40.7548505,-73.9623,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,0.0,0.0,-101,2026-09-17T23:03:00.000,198.6,3.1,False,Manhattan,MTA Bridges & Tunnels,9.9847,,False,,40.80143,-73.93084,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616328,FDR N Catherine Slip - 25th St,1.86,5159.0,-101,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,4.7377,2.6655,True,3.3,40.7182305,-73.97497,13,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616333,FDR S 25th St - Catherine Slip,34.79,293.0,0,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,0.5443,2.8315,False,6.7,40.7327304,-73.974281,12,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,34.79,76.0,0,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,0.1981,0.7345,False,9.4,40.70861,-73.99827,7,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4616342,BKN Bridge Manhattan Side - FDR N Catherine Slip,1.86,1319.0,-101,2026-09-17T23:02:12.000,199.4,3.9,False,Manhattan,NYC_DOT_LIC,0.2001,0.6815,False,0.5,40.70886,-73.997751,6,FDR Drive,highway,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4456510,QMT W Toll Plaza - Manhattan Side,0.0,0.0,-101,2026-09-17T23:02:01.000,199.6,4.1,False,Queens,NYC_DOT_LIC,1.1948,,False,,40.745436,-73.96631001,9,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
4456511,QMT E Manhattan Side - Toll Plaza,0.0,0.0,-101,2026-09-17T23:02:01.000,199.6,4.1,False,Manhattan,NYC_DOT_LIC,1.1129,,False,,40.745365,-73.96643,11,Queens-Midtown Tunnel,crossing,True,polyline crosses polygon,2026-09-18T06:21:37+00:00
